Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
MA PETITE CANTINE;;Brasserie;;10 rue des Angles;;49100;;;ANGERS;49007;47.47035;-0.5511;;;02 41 48 85 82;;romsclem@hotmail.fr;;;Facebook||https://fr-fr.facebook.com/Ma-petite-cantine-339908972771920/;;;;;;;;;"Service en terrasse;Plats à emporter / Covid-19";;;;;;;Français;Français;;;;01/01/2020||29/10/2020||||||12:30||14:00||||||12:30||14:00||||||12:30||14:00||||||12:30||14:00||||||12:30||14:00||20:00||22:00||12:30||14:00||20:00||22:00||||||||;;;;;;47.47035,-0.5511;Maine-et-Loire
MAG 85;Restaurant;Restauration rapide;;4 rue Paul Doumer;;85000;;;LA ROCHE-SUR-YON;85191;46.6694876;-1.4274344;;06 68 24 85 74;02 28 97 90 44;;;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g196652-d12321347-Reviews-Kebab_Mag_85-La_Roche_sur_Yon_Vendee_Pays_de_la_Loire.html;;;;;;;;;"Plats à emporter;Service en terrasse;Traiteur;WiFi";;1;32;;;;;;;;;;||06 68 88 16 86||;;;;;46.6694876,-1.4274344;Vendée
MAISON BARBARIT;Restaurant;Restauration rapide;;68 BOULEVARD DE L'INDUSTRIE;;85000;;;LA ROCHE-SUR-YON;85191;46.6544831;-1.4395375;;;02 51 38 60 00;;;http://www.boulangeriebarbarit.fr;;;;;;;;;;;"Climatisation;Plats à emporter;Service en terrasse;Traiteur";;1;;;;;;;;;oui;||||du lundi au dimanche midi|| dimanche après-midi||||06:30||||19:45||||06:30||||19:45||||06:30||||19:45||||06:30||||19:45||||06:30||||19:45||||07:00||||19:45||||07:00||||19:00;||02 51 38 60 00||thierrybarbarit@orange.fr;;;;"Cartes bancaires;Espèces;Tickets Restaurant";46.6544831,-1.4395375;Vendée
MAISON MARSOLLIER;Hôtel restaurant;;23 Chemin du Préfet;;;53960;;;BONCHAMP-LES-LAVAL;53034;48.0670143;-0.7019603;;;02 34 08 75 38;;maison-marsollier@orange.fr;;;;;;;;;;;;;320;3;;3;;;;;;;oui;;;;;;;48.0670143,-0.7019603;Mayenne
MANOIR ET PARC DE LA BRIANDAIS;Restaurant;Cuisine traditionnelle;;La Briandais;;44780;;;MISSILLAC;44098;47.51337;-2.11024;;;02 40 88 32 66;02 40 19 30 52;contact@manoirdelabriandais.fr;http://www.parcdelabriandais.com;;;;;"Guide du Routard Pays de la Loire;Le petit futé";"2 cheminées;2 cocottes";;oui;;"Logis;Qualité Tourisme";"Séminaire;WiFi";;;12;1;;;oui;oui;;50;oui;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.51337,-2.11024;Loire-Atlantique
MAYDAY;Restaurant;Restauration rapide;;4 quai des Boucaniers;La Chaume;85100;;;LES SABLES-D'OLONNE;85194;46.493293;-1.79542;;;02 51 21 11 85;;hello@maydaycafe.fr;http://maydaycafe.fr/;;Instagram||https://www.instagram.com/maydaycafe/;;;;;;oui;;;"Plats à emporter;Service en terrasse";40;;8;;;;"Allemand;Anglais";"Allemand;Anglais";;;oui;;;;;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";46.493293,-1.79542;Vendée
MC DONALD'S CHANTONNAY;Restaurant;Restauration rapide;;45 avenue Georges Clemenceau;;85110;;;CHANTONNAY;85051;46.6813935;-1.0475478;"Autoroute||A83, sortie n°6 Bournezeau||12 ; Puy du Fou||||29,7";;02 51 05 25 25;;contact@chansud-mcdo.fr;;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g672996-d8506366-Reviews-McDonald_s-Chantonnay_Vendee_Pays_de_la_Loire.html;;;;;;non;;;"Plats à emporter;Plats à emporter / Covid-19";;;;;;;Français;Français;;;oui;;;;;;"Cartes bancaires;Chèques Vacances;Espèces;Tickets Restaurant";46.6813935,-1.0475478;Vendée
MC DONALD'S HÉRIC;Restaurant;Restauration rapide;;Grand'Haie;;44810;;;HERIC;44073;47.3815605;-1.6439739;Route (nationale/départ.)||N137||0;;02 40 12 08 68;;;https://www.restaurants.mcdonalds.fr/mcdonalds-HERIC?gclid=Cj0KEQiA4LCyBRCY0N7Oy-mSgNIBEiQAyg39tohzgP5bt7QwOOYt-RyJ-dObjraQBpFDlyU-jhfp2YsaAlyR8P8HAQ&gclsrc=aw.ds;;"Facebook||https://www.facebook.com/mcdonaldsfrance ; Google+||https://www.mcdonalds.fr/actualites ; Twitter||https://twitter.com/mcdonalds ; Instagram||https://www.instagram.com/mcdonalds/ ; Pinterest||https://www.pinterest.com/mcdonalds/ ; Flickr||https://www.flickr.com/photos/aboutmcdonalds/ ; Foursquare||https://fr.foursquare.com/p/mcdonalds/9223457 ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1080861-d6892338-Reviews-McDonald_s_Heric-Heric_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;;;;"Plats à emporter;Service en terrasse;WiFi";;;;;;;Français;Français;;;oui;||||||||09:00||||||22:00||09:00||||||22:00||09:00||||||22:00||09:00||||||22:00||09:00||||||23:00||09:00||||||23:00||09:00||||||22:00;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.3815605,-1.6439739;Loire-Atlantique
MC DONALD'S SAUMUR;Restaurant;Restauration rapide;;Rue des Maréchaux;Rond-Point Breil Weygand;49400;;;SAUMUR;49328;47.26521;-0.09216;;;02 41 51 98 98;;;http://www.facebook.com/mcdonalds.saumur;;"Tripadvisor|| ; Facebook||https://www.facebook.com/mcdonalds.saumur/";;;;;;oui;;;"Plats à emporter / Covid-19;Livraison à domicile / Covid-19";150;1;30;;;;"Anglais;Français";"Anglais;Français";;;;01/01/2020||31/12/2020||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques Vacances";47.26521,-0.09216;Maine-et-Loire
MC GILL'S;;Cuisine traditionnelle;;30 rue Bretonnaise;Les Arcades Rougé;49300;;;CHOLET;49099;47.06108;-0.88389;;;02 41 62 58 12;;mcgillsirishpub@gmail.com;;;;;;;;;oui;;;"Climatisation;Service en terrasse;WiFi";60;;40;;;;oui;oui;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant;Virement";47.06108,-0.88389;Maine-et-Loire
MCDONALD'S SAINT ANDRE;Restaurant;Restauration rapide;;2 rue Léonard de Vinci;;49450;;;SEVREMOINE;49301;47.100754;-0.994349;;;02.41.64.17.43;;;www.mcdonalds.fr;;;;;;;;oui;;;;;;;;;;oui;oui;;;oui;01/01/2020||31/12/2020||||||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||21:00||11:00||||||22:00||11:00||||||22:00||11:00||||||22:00;;;;;;47.100754,-0.994349;Maine-et-Loire
MEUH !;Restaurant;Grill - Rôtisserie;;91 Rue Jacques Yves Cousteau;;85000;;;LA ROCHE-SUR-YON;85191;46.7079221;-1.4281967;;;02 51 99 03 91;;laroche@meuh-restaurant.fr;;;"Facebook||https://www.facebook.com/MEUHrestaurants ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g1154786-d11905606-Reviews-Meuh_Restaurant-Mouilleron_Le_Captif_La_Roche_sur_Yon_Vendee_Pays_de_la_Loire.html";;;;;;;;;;;;;;;;oui;oui;;;oui;;;;;;"Cartes bancaires;Tickets Restaurant";46.7079221,-1.4281967;Vendée
MIAM MIAM;Restaurant;Restauration rapide;2 rue Saint François d'Assise;2 Rue Saint François d'Assise;;44310;;;SAINT-PHILBERT-DE-GRAND-LIEU;44188;47.036773;-1.642911;;;02 28 25 92 09;;;;;;;;;;;;;;;;;;;;;;;;;oui;||||ouvert midi et soir. Fermé le mercredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 28 25 92 09||;;;;;47.036773,-1.642911;Loire-Atlantique
MILLÉSIME 68;Restaurant;Cuisine traditionnelle;;Rue du Vieil Hôpital;;44000;;;NANTES;44109;47.2146819;-1.5548856;;;02 40 75 17 68;;;http://www.restaurant-millesime68.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2146819,-1.5548856;Loire-Atlantique
MY TACOS;Restaurant;Restauration rapide;;120 Avenue du Général de Gaulle;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2858096;-2.3915998;;;02 40 23 21 48;;;;;;;;;;;;;;;;;;;;;;;;;;"01/07/2020||31/08/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2020||31/08/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/07/2020||31/08/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;;47.2858096,-2.3915998;Loire-Atlantique
NANDI;Restaurant;Cuisine du Monde;;6 rue Jean-Jacques Rousseau;;44000;;;NANTES;44109;47.2125753;-1.5599601;;;02 53 45 17 88;;;http://www.nandi-restaurant.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.2125753,-1.5599601;Loire-Atlantique
NOA (NOIRMOUTIER OTHER ATMOSPHÈRES) - BAR LOUNGE PMU;;;;Port de Plaisance - L'Herbaudière;;85330;;;NOIRMOUTIER-EN-L'ILE;85163;47.02391;-2.29854;;;02 51 55 10 66;;;;;;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;;;;;;;;47.02391,-2.29854;Vendée
O CRÊP'USCULE;Restaurant;Crêperie;;21 rue d'Estournelles de Constant;;72600;;;MAMERS;72180;48.3499506;0.3665243;;;02 53 63 95 57;;nathalie.vallee69@laposte.net;;;;;;;;;;;;Plats à emporter / Covid-19;20;1;;;;;;;;;;01/01/2020||31/12/2020||lundi de 12h à 15h, du jeudi au dimanche de 12h à 15h et de 19h à 23h||mardi et mercredi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;48.3499506,0.3665243;Sarthe
O'BASQUE;;;;30 rue Bretonnaise;Les Arcades Rougé;49300;;;CHOLET;49099;47.06053;-0.8833;;;02 44 09 47 98;;;;;;;;;;;;;;WiFi;80;;;;;;Français;Français;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.06053,-0.8833;Maine-et-Loire
O'BISTRO;Restaurant;;;rue Jean de Vignolles;;72650;;;SAINT-SATURNIN;72320;48.0480597;0.1730647;;;02 43 20 05 00;;;https://www.facebook.com/pages/category/Restaurant/O-Bistro-170859693482027/;;Facebook||https://www.facebook.com/O-Bistro-170859693482027/;;;;;;;;;;;;;;;;;;;;;;;;;;;48.0480597,0.1730647;Sarthe
O'PRÉSENT;Restaurant;Cuisine traditionnelle;;13 Rue de l'Europe;;53200;;;MARIGNE-PEUTON;53145;47.8694378;-0.8125796;;;02 43 12 30 87;;lardeuxsarl@gmail.com;https://lardeuxsarl.wixsite.com/opresent;;Facebook||https://www.facebook.com/bar.opresent.3;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;non;02/11/2020||01/12/2020||||||07:00||20:00||||||07:00||20:00||||||07:00||14:30||||||07:00||20:00||||||07:00||20:00||||||08:00||20:00||||||08:00||14:00||||;O'Présent||02 43 12 30 87||lardeuxsarl@gmail.com;;;;;47.8694378,-0.8125796;Mayenne
O'TACOS;Restaurant;Restauration rapide;;21 Avenue Aliénor d'Aquitaine;;85000;;;LA ROCHE-SUR-YON;85191;46.6864786;-1.4304755;;;;;;https://www.o-tacos.fr/;;Facebook||https://www.facebook.com/otacoslarochesuryon/;;;;;;;;;Plats à emporter;;;;;;;Français;Français;;;oui;;;;;;"Cartes bancaires;Espèces;Tickets Restaurant";46.6864786,-1.4304755;Vendée
O'TALADAL RESTAURANT  RAPIDE;Restaurant;;;5 Rue du Lavoir;;44410;;;LA CHAPELLE-DES-MARAIS;44030;47.44723;-2.2423;;;09 84 14 53 65;;;;;;;;;;;;;;"Plats à emporter;Plats à emporter / Covid-19";;;;;;;;;;;;"01/01/2020||31/12/2020||Ouvert du mercredi au samedi, ainsi que le dimanche soir||Fermé le dimanche midi, lundi et mardi||||||||||||||||||11:30||14:00||18:00||21:30||11:30||14:00||18:00||21:30||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:00||||||18:00||21:30 ; 28/10/2020||03/11/2020||||Fermeture||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Chèques Vacances;Espèces;Tickets Restaurant";47.44723,-2.2423;Loire-Atlantique
OH BAGEL;Restaurant;Restauration rapide;;;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2869183;-2.3913777;;;02 40 23 42 46;;;http://ohbagel.fr/;;;;;;;;;;;;;;;;;;;;;;;"30/10/2020||01/12/2020||||||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00||11:00||||||14:00 ; 30/10/2020||01/12/2020||||||18:00||||||20:30||18:00||||||20:30||18:00||||||20:30||18:00||||||20:30||18:00||||||20:30||18:00||||||20:30||18:00||||||20:30";;;;;"Cartes bancaires;Chèques bancaires et postaux";47.2869183,-2.3913777;Loire-Atlantique
OSÉ;;Salon de thé;;43 rue Toussaint;;49100;;;ANGERS;49007;47.46919;-0.5568;;;02 41 31 45 63;;cpluneau@gmail.com;https://www.ose-restaurant.fr/;;;;;;;;;;;Service en terrasse;50;;30;;;;"Anglais;Espagnol;Français";"Anglais;Espagnol;Français";;50;;"01/01/2019||31/12/2019||||||||||||||12:15||13:45||19:15||21:30||12:15||13:45||19:15||21:30||12:15||13:45||19:15||21:30||12:15||13:45||19:15||22:00||12:15||13:45||19:15||22:00|||||||| ; 02/06/2020||29/10/2020||||||||||||||12:15||13:45||19:15||21:30||12:15||13:45||19:15||21:30||12:15||13:45||19:15||21:30||12:15||13:45||19:15||22:00||12:15||13:45||19:15||22:00||||||||";;;;Menu adulte du jour (midi en semaine)||20,00||24,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Tickets Restaurant";47.46919,-0.5568;Maine-et-Loire
PAPALOU;Restaurant;;;10 boulevard de la Prairie au Duc;;44000;;;NANTES;44109;47.2052321;-1.5561913;;;02 51 82 47 40;;;;;;;;;;;;;;;;;;;;;;;;;;||||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||11:30||14:30||||||||||||||||||||;;;;;;47.2052321,-1.5561913;Loire-Atlantique
PATISSERIE GAVET;Restaurant;Salon de thé;;64 quai Leray;;44210;;;PORNIC;44131;47.11467;-2.10372;;;02 40 82 02 49;;contact@patisserie-gavet.fr;http://www.patisserie-gavet.fr;;;;;;;;;;;WiFi;;;;;;;non;non;;;;"01/01/2020||31/12/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2020||31/12/2020|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| ; 01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux";47.11467,-2.10372;Loire-Atlantique
PAUSE GOURMANDE, LE CARREFOUR;;;;lieu dit le Carrefour;rue du Carrefour, la Bohalle;49250;;;LOIRE-AUTHION;49307;47.42479;-0.38316;;;;;tourisme@loire-authion.fr;http://www.loire-authion.fr/restaurants/;;Facebook||https://www.facebook.com/Foodtrucklabohalle-114416706968031;;;;;;oui;;;;;;;;;;"Anglais;Français";"Anglais;Français";;;;15/06/2020||13/09/2020||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||||10:00||17:00||||;;;;;;47.42479,-0.38316;Maine-et-Loire
PIZZ'A DOMICILE;Restaurant;Pizzeria;;4 avenue Louis Barthou;;44380;;;PORNICHET;44132;47.26037;-2.34026;;;02 40 42 65 01;;anthonylebaud@orange.fr;http://www.pizza-domicile.fr;;;;;;;;;;;;;;;;;;;;;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.26037,-2.34026;Loire-Atlantique
PIZZA SUZON;Restaurant;Pizzeria;;16 rue Pont de la Ville;;49680;;;NEUILLE;49224;47.33619;-0.03084;;;06 30 60 51 47;;;http://www.pizza-suzon.fr/;;Facebook||https://www.facebook.com/fouees.pizzasuzon.artisanale;;;;;;;;;Plats à emporter / Covid-19;;;;;;;Français;Français;;;;01/01/2020||31/12/2020||Pour connaitre le détail, contacter l'établissement.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux";47.33619,-0.03084;Maine-et-Loire
PIZZERIA A LA ROMA;Restaurant;Pizzeria;;9 place de la Motte;;44110;;;CHATEAUBRIANT;44036;47.7179353;-1.3773294;;;02 40 28 17 77;;;;;;;;;;;oui;;;"Plats à emporter;Service en terrasse";70;;20;;;;oui;oui;;;oui;||||||fermé le lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 28 17 77||;;;Plats à la carte||8,90||9,90||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.7179353,-1.3773294;Loire-Atlantique
PIZZERIA DE CHAILLÉ;Restaurant;Pizzeria;;8, Rue de la Côte de l'église;;85450;;;CHAILLE-LES-MARAIS;85042;46.3934277;-1.0230325;;;02 51 56 52 64;;;http://www.pizzeria-de-chaille.fr/;;;;;;;;oui;;;"Plats à emporter;Plats à emporter / Covid-19";;;;;;;non;non;;;oui;||||||Le lundi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;"Plats à la carte||5,00||12,00||Nous proposons des pizzas pour les tous petits pour 5 euros ; Menu enfant||5,00||6,00||";"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";46.3934277,-1.0230325;Vendée
PIZZERIA LA BOITE A PIZZA;Restaurant;Pizzeria;;1 avenue du Général de Gaulle;;72000;;;LE MANS;72181;48.0038811;0.20242689;;;02 43 87 03 03;;baplemans@gmail.com;https://www.laboiteapizza.com/restaurant/Le_Mans;http://www.youtube.com/laboiteapizzafr;"Facebook||https://www.facebook.com/boiteapizza ; Twitter||https://twitter.com/laboite_a_pizza/";;;;;;oui;;;"Plats à emporter;WiFi;Plats à emporter / Covid-19;Livraison à domicile / Covid-19";24;1;;;;;oui;oui;2;20;oui;;;;;;"Cartes bancaires;Chèques Vacances;Tickets Restaurant";48.0038811,0.20242689;Sarthe
PIZZERIA LA FLORENTINA;Restaurant;Pizzeria;;Rue du Grand Moulin;Z.A de la Lande;49170;;;SAINT-GEORGES-SUR-LOIRE;49283;47.405035;-0.7508549;"Route (nationale/départ.)||D723||0,5 ; Autoroute||A11, sortie n°19||10 ; Aéroport/aérodrome||Angers-Marcé||30 ; Gare SNCF||||7 ; Gare routière||||1";;02 41 72 00 49;;roinard.humeau@wanadoo.fr;http://www.pizzeria-restaurant-la-florentina.fr;;;;;;;;oui;;;"Plats à emporter;Service en terrasse";50;1;40;;1;;oui;oui;;40;oui;;||02 41 72 00 49||;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.405035,-0.7508549;Maine-et-Loire
PIZZERIA LA PAUSA;Restaurant;Pizzeria;;1 r villeneuve;;72650;;;SAINT-SATURNIN;72320;48.0499418;0.17528641;;;02 43 23 03 30;;;;;"Facebook||https://www.facebook.com/LaTagliatella?fref=ts ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g226889-d2493082-Reviews-La_Tagliatella_Saint_Saturnin-Saint_Saturnin_Maine_et_Loire_Pays_de_la_Loire.html";;;;;;;;;;;;;;;;;;;;;;;;;;;48.0499418,0.17528641;Sarthe
PIZZERIA LE HANGAR À PIZZA;Restaurant;Pizzeria;;4 Chemin la Poissonnière;Beaufort-en-Vallée;49250;;;BEAUFORT-EN-ANJOU;49021;47.4367081;-0.2226778;;;02 41 66 33 03;;;;;Facebook||https://www.facebook.com/Hangar-%C3%A0-Pizza-2152789261610658/;;;;;;;;;"Plats à emporter;Plats à emporter / Covid-19";;;;;;;;;;;oui;01/01/2020||31/12/2020||||||12:00||13:30||19:00||20:30||||||||||||||||||19:00||20:30||||||19:00||20:30||||||19:00||20:30||||||19:00||20:30||||;;;;Plats à la carte||7,50||||;Cartes bancaires;47.4367081,-0.2226778;Maine-et-Loire
PIZZERIA PIZZA MAIO;Restaurant;Pizzeria;;45 rue des Ponts Neufs;;72000;;;LE MANS;72181;48.0064919;0.19836209;;;02 43 28 60 87;;;https://www.facebook.com/pages/Pizza-Ma%C3%AFo/116378175085044;;"Facebook||https://www.facebook.com/pages/Pizza-Ma%C3%AFo/116378175085044 ; Google+||https://plus.google.com/110749689507393468966/about?gl=fr&hl=fr";;;;;;;;;;;;;;;;;;;;;;;;;;;48.0064919,0.19836209;Sarthe
PIZZERIA RESTAURANT ISOLA;Restaurant;Pizzeria;;39, Rue du Général de Gaulle;;44560;;;PAIMBOEUF;44116;47.28915;-2.02904;;;09 67 19 91 31;;duchesnegilbert@orange.fr;"https://www.facebook.com/restaurants.isola.7?__tn__=K-R&amp;eid=ARBFpIYWwCcnsNidCf_dPnMlmoTCyK5Y_OMF4iB9iElvx68FXE2JEMDdLM8imlqMJ60pC8Cjc5OYPmMI&amp;fref=mentions";;;;;;;;oui;;;;56;1;;;;;;;;;;01/01/2018||31/12/2018||Midi et soir. En saison ouvert tous les jours.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"Cartes bancaires;Chèques bancaires et postaux;Tickets Restaurant";47.28915,-2.02904;Loire-Atlantique
PIZZERIA TUTTI PIZZA;Restaurant;Pizzeria;;21 rue du Maréchal Foch;BEAUPREAU;49600;;;BEAUPREAU-EN-MAUGES;49023;47.2020951;-0.9899115;;;02 52 45 00 45;;;http://www.tutti-pizza.com/;;Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g3946440-d9462204-Reviews-Tutti_Pizza-Beaupreau_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;;;;;;;;;;;Français;Français;;;oui;;||02 52 45 00 45||;;;;"Cartes bancaires;Chèques bancaires et postaux";47.2020951,-0.9899115;Maine-et-Loire
PLACE DES AFFAMÉS;Restaurant;Restauration rapide;;11, rue Georges Clémenceau;;85170;;;BELLEVIGNY;85019;46.781653;-1.4308137;;;02 51 41 45 24;;;;;Facebook||https://www.facebook.com/marionneaulaurent/;;;;;;;;;Plats à emporter;;;;;;;;;;;oui;16/06/2020||31/12/2020||Ouvert 7j/7||||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||22:00||11:00||14:00||18:00||23:00||||||18:00||23:00||||||18:00||22:00;;;;;"Cartes bancaires;Tickets Restaurant";46.781653,-1.4308137;Vendée
PRESQU'ÎLE;Restaurant;Restaurant gastronomique - cuisine raffinée;;9 rue Max Richard;;49000;;;ANGERS;49007;47.4659;-0.55805;;;02 41 19 14 48;;contact@une-ile.fr;http://www.une-ile.fr;;"Facebook||https://fr-fr.facebook.com/Une-Ile-Restaurant-Gastronomique-%C3%A0-Angers-422152937866479/ ; Tripadvisor||";"<div id=""TA_selfserveprop609"" class=""TA_selfserveprop"">;<ul id=""3Gewyu9"" class=""TA_links kPNDvjZku5E"">;<li id=""b8dG1SoXAU"" class=""0daevZ"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=609&amp;locationId=1815187&amp;lang=fr&amp;rating=true&amp;nreviews=5&amp;writereviewlink=true&amp;popIdx=true&amp;iswide=false&amp;border=true&amp;display_version=2""></script>";;"Gault Millau;Le Routard Hôtels et Restos de France";;;oui;;Vignobles et découvertes;"Climatisation;Service en terrasse;WiFi;Plats à emporter / Covid-19";35;1;;;;;"Anglais;Français";"Anglais;Français";;35;;"17/04/2020||03/06/2020||||||||||||||||||||||||||||||||||||||12:00||14:30||||||12:00||14:30|||||||||||| ; 03/06/2020||29/10/2020||||||||||||||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||||||12:00||14:00||12:00||19:00||||||||||||";;;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.4659,-0.55805;Maine-et-Loire
PUB L'EXCALIBUR;Restaurant;Brasserie;;4 rue de la croix de mission;Le Vieil Baugé;49150;;;BAUGE-EN-ANJOU;49018;47.5310124;-0.1191291;;;;;;;;Facebook||https://www.facebook.com/pubexcaliburvieilbauge/;;;;;;;;;;;;;;;;;;;;;23/10/2020||31/12/2020||Pub ouvert de 18h30 à 1h (23h le dimanche)||||||||||||||||||||||||||||19:00||20:30||||||19:00||20:30||||||19:00||20:30||||||19:00||20:30||||;;;;;;47.5310124,-0.1191291;Maine-et-Loire
QUAI 34;Restaurant;Bistrot / bar à vin;;34 Place du Millénaire;Ancenis;44150;;;ANCENIS-SAINT-GEREON;44003;47.3635345;-1.1785723;;;02 51 14 88 01;;;https://quai-34.fr/;;;;;;;;;;;Plats à emporter;;1;;;;;;;;;oui;;;;;;"Cartes bancaires;Espèces";47.3635345,-1.1785723;Loire-Atlantique
RADIS & CIE;Restaurant;Restauration rapide;;64 avenue Albert de Mun;;44600;;;SAINT-NAZAIRE;44184;47.2789053;-2.2131788;"Gare SNCF||||0,9 ; Transport en commun||Arrêt de bus Hélyce ""République""||0,2 ; Transport en commun||Zénibus||0,01";06 40 87 87 58;;;;www.radiscie.fr;;Facebook||https://www.facebook.com/RadisCie/;;;Le petit futé;;;oui;En terrasse;;"Plats à emporter;Service en terrasse;Traiteur;Plats à emporter / Covid-19";26;1;20;;;;oui;oui;;6;oui;"01/01/2020||31/12/2020||Ouvert du lundi au vendredi, 11h - 15h, et jusqu'à 17h30 du 21 juin au 31 août) FERMé du 1er au 17 août||Fermé le samedi et dimanche||11:00||15:00||||||11:00||15:00||||||11:00||15:00||||||11:00||15:00||||||11:00||15:00|||||||||||||||||||| ; 23/10/2020||01/11/2020||||Fermeture||||||||||||||||||||||||||||||||||||||||||||||||||||||||";;oui;||www.radiscie.fr||||06 40 87 87 58||;Plats à la carte||3,00||9,00||Salade ou soupe;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Tickets Restaurant";47.2789053,-2.2131788;Loire-Atlantique
